0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
341.0,635.0,690.0,2412.0,2501.0,,,,,,,,,,,
,,,,,,,,,,,,,,,
1067.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
232.0,1682.0,,,,,,,,,,,,,,
10.0,153.0,1060.0,1375.0,1435.0,1448.0,1708.0,2050.0,2460.0,2605.0,,,,,,
1140.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
639.0,1381.0,1546.0,1864.0,2734.0,,,,,,,,,,,
1323.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1120.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
527.0,1007.0,2613.0,2987.0,,,,,,,,,,,,
1583.0,,,,,,,,,,,,,,,
423.0,1332.0,1418.0,1526.0,2194.0,,,,,,,,,,,
,,,,,,,,,,,,,,,
1739.0,2222.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
851.0,1584.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
649.0,1907.0,,,,,,,,,,,,,,
729.0,,,,,,,,,,,,,,,
989.0,1146.0,1186.0,1843.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1304.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
364.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1993.0,,,,,,,,,,,,,,,
1349.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1381.0,2044.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1054.0,1805.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
994.0,2194.0,2556.0,2675.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
461.0,519.0,805.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
77.0,1739.0,2568.0,,,,,,,,,,,,,
160.0,1965.0,2027.0,,,,,,,,,,,,,
584.0,784.0,849.0,,,,,,,,,,,,,
185.0,747.0,1887.0,,,,,,,,,,,,,
1525.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1127.0,,,,,,,,,,,,,,,
694.0,922.0,1157.0,1631.0,1956.0,2044.0,2313.0,2348.0,2377.0,,,,,,,
1616.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
654.0,901.0,1414.0,1790.0,2955.0,,,,,,,,,,,
,,,,,,,,,,,,,,,
134.0,218.0,2660.0,,,,,,,,,,,,,
972.0,1810.0,2179.0,,,,,,,,,,,,,
338.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7.0,634.0,1989.0,2272.0,2610.0,2906.0,,,,,,,,,,
1120.0,,,,,,,,,,,,,,,
778.0,1960.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
856.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
338.0,498.0,631.0,1475.0,1608.0,1724.0,2173.0,2196.0,2292.0,,,,,,,
654.0,2815.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1037.0,2902.0,,,,,,,,,,,,,,
571.0,691.0,1120.0,1814.0,,,,,,,,,,,,
1525.0,,,,,,,,,,,,,,,
617.0,1071.0,1412.0,1749.0,2976.0,,,,,,,,,,,
1801.0,,,,,,,,,,,,,,,
83.0,2857.0,,,,,,,,,,,,,,
14.0,1191.0,1525.0,2664.0,,,,,,,,,,,,
324.0,762.0,2067.0,2543.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
910.0,,,,,,,,,,,,,,,
296.0,533.0,1141.0,2736.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
