0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
788.0,2498.0,2805.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
870.0,,,,,,,,,,,,,,,,
11.0,169.0,809.0,1197.0,1617.0,1911.0,2145.0,2922.0,3652.0,3669.0,3705.0,3725.0,,,,,
,,,,,,,,,,,,,,,,
706.0,1324.0,3991.0,,,,,,,,,,,,,,
122.0,3822.0,,,,,,,,,,,,,,,
1264.0,1994.0,2967.0,3054.0,,,,,,,,,,,,,
291.0,706.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3712.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
208.0,3821.0,3879.0,,,,,,,,,,,,,,
1178.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
650.0,,,,,,,,,,,,,,,,
2045.0,,,,,,,,,,,,,,,,
1141.0,1331.0,2640.0,2901.0,3320.0,3620.0,3797.0,,,,,,,,,,
47.0,1772.0,3411.0,,,,,,,,,,,,,,
1324.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3019.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
218.0,777.0,1752.0,3764.0,,,,,,,,,,,,,
493.0,738.0,3777.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
423.0,1359.0,1633.0,3690.0,,,,,,,,,,,,,
883.0,,,,,,,,,,,,,,,,
1465.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
956.0,1442.0,,,,,,,,,,,,,,,
208.0,3372.0,3561.0,,,,,,,,,,,,,,
3891.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1397.0,3135.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
191.0,3110.0,3348.0,3536.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2442.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2026.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
162.0,937.0,942.0,1129.0,2590.0,3693.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
910.0,2893.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1946.0,2653.0,2694.0,2880.0,,,,,,,,,,,,,
55.0,956.0,1185.0,2508.0,2675.0,3633.0,,,,,,,,,,,
679.0,890.0,958.0,3364.0,3401.0,,,,,,,,,,,,
61.0,853.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1053.0,1301.0,1404.0,2603.0,3859.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
590.0,748.0,829.0,1027.0,2004.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
150.0,236.0,2289.0,2972.0,,,,,,,,,,,,,
119.0,1301.0,1722.0,2033.0,2452.0,3055.0,3454.0,,,,,,,,,,
2494.0,,,,,,,,,,,,,,,,
2263.0,,,,,,,,,,,,,,,,
2556.0,2736.0,3234.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
882.0,2546.0,3477.0,,,,,,,,,,,,,,
122.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3268.0,,,,,,,,,,,,,,,,
176.0,373.0,1263.0,1663.0,1796.0,1932.0,2129.0,2369.0,2447.0,2468.0,2580.0,3361.0,3744.0,3874.0,,,
1418.0,2577.0,2893.0,3131.0,3275.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
664.0,3766.0,,,,,,,,,,,,,,,
3740.0,,,,,,,,,,,,,,,,
432.0,1587.0,1958.0,2256.0,2595.0,2839.0,3312.0,3969.0,,,,,,,,,
,,,,,,,,,,,,,,,,
1868.0,3742.0,,,,,,,,,,,,,,,
2240.0,,,,,,,,,,,,,,,,
869.0,1700.0,3912.0,3939.0,,,,,,,,,,,,,
1366.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
326.0,706.0,2097.0,3056.0,3656.0,3906.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3663.0,,,,,,,,,,,,,,,,
205.0,1018.0,1856.0,2040.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
208.0,1406.0,3332.0,,,,,,,,,,,,,,
1326.0,1994.0,,,,,,,,,,,,,,,
438.0,2301.0,2484.0,2739.0,2771.0,2840.0,3319.0,,,,,,,,,,
,,,,,,,,,,,,,,,,
297.0,504.0,805.0,853.0,3126.0,3880.0,,,,,,,,,,,
27.0,714.0,757.0,1182.0,1282.0,2261.0,3217.0,3619.0,3821.0,,,,,,,,
413.0,2564.0,3205.0,3279.0,,,,,,,,,,,,,
906.0,2166.0,,,,,,,,,,,,,,,
309.0,789.0,842.0,1394.0,1413.0,1854.0,2168.0,3892.0,,,,,,,,,
,,,,,,,,,,,,,,,,
1120.0,,,,,,,,,,,,,,,,
1178.0,,,,,,,,,,,,,,,,
1300.0,1520.0,2498.0,2541.0,3058.0,3329.0,,,,,,,,,,,
587.0,1148.0,1406.0,2497.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1525.0,,,,,,,,,,,,,,,,
612.0,856.0,1049.0,1246.0,2294.0,2361.0,,,,,,,,,,,
789.0,,,,,,,,,,,,,,,,
1809.0,3530.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2294.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1511.0,1961.0,2461.0,3039.0,3212.0,3698.0,3853.0,,,,,,,,,,
204.0,670.0,937.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
